                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.58688,                0.80401,                 1.0367,                0.78378,                0.90839,                0.89558,                0.76268,                0.60671,                0.78352,                0.91704,             0.00076801,             0.00076801,             0.00076801
                     49,                 0.5814,                0.76776,                 1.0346,                0.81786,                0.85644,                0.90604,                0.76954,                0.60577,                0.69202,                0.91622,             0.00076501,             0.00076501,             0.00076501
                     50,                0.60438,                0.80406,                 1.0424,                0.84861,                0.81794,                0.89173,                0.75645,                0.60489,                0.72262,                0.92383,             0.00076201,             0.00076201,             0.00076201
                     51,                0.57423,                0.78969,                 1.0333,                0.74617,                0.83092,                0.85201,                0.72439,                0.63412,                0.78857,                0.92085,             0.00075902,             0.00075902,             0.00075902
                     52,                 0.6032,                0.79115,                 1.0397,                0.76817,                0.82774,                0.84554,                0.71916,                0.65171,                0.74865,                0.93191,             0.00075602,             0.00075602,             0.00075602
                     53,                0.58214,                0.75274,                 1.0348,                 0.8268,                 0.7885,                0.86611,                0.73854,                0.60978,                0.76402,                0.92175,             0.00075302,             0.00075302,             0.00075302
                     54,                0.59457,                0.76521,                 1.0366,                0.81097,                0.74157,                0.86713,                0.73825,                0.63094,                0.71724,                0.94107,             0.00075002,             0.00075002,             0.00075002
                     55,                0.56911,                0.76656,                 1.0252,                0.78545,                0.78532,                0.86097,                0.73606,                0.61937,                0.76105,                0.91719,             0.00074702,             0.00074702,             0.00074702
                     56,                0.57531,                0.73106,                 1.0251,                0.77042,                0.81946,                0.85946,                0.74847,                 0.5943,                0.77748,                0.89734,             0.00074402,             0.00074402,             0.00074402
                     57,                0.58437,                 0.7238,                 1.0254,                0.77088,                0.84707,                0.89048,                0.76775,                0.58763,                0.74114,                0.89974,             0.00074102,             0.00074102,             0.00074102
                     58,                 0.5745,                0.74491,                 1.0275,                0.84154,                0.80514,                0.88673,                0.75622,                0.60883,                0.70717,                0.91607,             0.00073802,             0.00073802,             0.00073802
                     59,                0.57121,                 0.7303,                 1.0281,                0.77711,                0.85765,                 0.8644,                0.72595,                0.65425,                0.75009,                0.93943,             0.00073502,             0.00073502,             0.00073502
                     60,                0.56408,                0.73536,                 1.0215,                0.79423,                0.80378,                0.86626,                0.75316,                0.58858,                0.74844,                0.91058,             0.00073202,             0.00073202,             0.00073202
                     61,                0.55924,                0.72478,                 1.0199,                0.85498,                0.78464,                0.89543,                0.77392,                0.59922,                0.67512,                0.90951,             0.00072902,             0.00072902,             0.00072902
                     62,                0.56734,                0.69559,                 1.0271,                0.84002,                 0.8189,                 0.9004,                0.78591,                0.59349,                0.66402,                0.91322,             0.00072602,             0.00072602,             0.00072602
                     63,                0.55923,                0.71794,                 1.0285,                0.88783,                0.76388,                0.89027,                0.77451,                0.56523,                0.67166,                0.89267,             0.00072302,             0.00072302,             0.00072302
                     64,                0.56993,                0.70276,                 1.0276,                0.78053,                0.84294,                0.89317,                0.74973,                0.64011,                0.70456,                0.92729,             0.00072002,             0.00072002,             0.00072002
